Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,493571,415882,511130,436377
Liabilities,,,,
Total Liabilities,88,4288,2979,157
Stockholders' Equity,,,,
Common Stock,42472,35976,15982,15267
Total stockholders' equity,493483,411594,508151,436220
Total liabilities and stockholders' equity,493571,415882,511130,436377
