Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-1669,-1352,-1788,-1115
Acquisitions net,-,-3174,-5676,-
Net cash used for investing activites,-1690,-4525,-5961,-1115
Common stock issued,6052,12063,12084,12831
Common stock repurchased,-358.1634,-667.7527,-754.4744,-1043
Net cash used privided by (used for) financing activities,12429,14750,11329,11788
Net change in cash,2263,-1489,-2893,4863
Cash at beginning of period,626.0286,2895,5479,-
Cash at end of period,2889,1195,2747,5265
Capital Expenditure,-1669,-1352,-1788,-1115
Free Cash Flow,-10147,-13065,-10050,-6925
