Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-151961,-104774,-69149,-49059,-98536
Acquisitions net,-,-33960,-,-,-
Net cash used for investing activites,-152235,-138718,-69142,-49020,-98534
Debt repayment,-18021,-13945,-20309,-80579,-10553
Common stock issued,-,-,-,84419,-
Common stock repurchased,-,-,-,-2129,-
Dividends Paid,-28487,-20284,-17472,-16090,-21344
Net cash used privided by (used for) financing activities,99274,49565,18526,15696,47508
Net change in cash,-1736,745,-6740,18040,-803
Cash at beginning of period,41631,23821,30561,12521,13324
Cash at end of period,39895,24566,23821,30561,12521
Capital Expenditure,-151961,-104774,-69149,-49059,-98536
Free Cash Flow,-100736,-14876,-25273,2305,-48313
