Breakdown,ttm,6/30/2018,6/30/2017
Total Revenue,0,0,0
Selling General and Administrative,10510,10510,9181
Total Operating Expenses,10285,10285,8903
Operating Income or Loss,-10285,-10285,-8903
Interest Expense,7.604,7.604,3.319
Income Before Tax,-10285,-10285,-8908
Income Tax Expense,-1877,-1877,-1143
Income from Continuing Operations,-8409,-8409,-7766
Net Income,-8409,-8409,-7766
Net Income available to common shareholders,-8409,-8409,-7766
Basic EPS,-,-,-0.13
Diluted EPS,-,-,-0.13
Basic Average Shares,-,-,60042
Diluted Average Shares,-,-,60042
