Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-36327,-90032,239206,429675
Depreciation & amortization,-,1409181,1601288,1572675
Change in working capital,-,-126748,698128,625355
Inventory,-,-186422,-179370,122493
Other working capital,-,387074,397822,1170818
Other non-cash items,-,107595,117471,82081
Net cash provided by operating activites,-,1028019,2416715,2663629
Investments in property plant and equipment,-,-640945,-2018893,-1492811
Acquisitions net,-,-,-,-65000
Purchases of investments,-,-46638,-88785,-12428
Sales/Maturities of investments,-,344781,453813,1
Other investing activites,-,-12810,-4504,-40103
Net cash used for investing activites,-,-250215,-1164157,-1357808
Net change in cash,-,598412,585100,245719
Cash at beginning of period,-,2322242,1737141,1491421
Cash at end of period,-,2920654,2322242,1737141
Operating Cash Flow,-,1028019,2416715,2663629
Capital Expenditure,-,-640945,-2018893,-1492811
Free Cash Flow,-,387074,397822,1170818
