Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,452391,224604,47533,50922
Depreciation & amortization,-,2617861,2484620,2466668
Change in working capital,-,-17664,-136455,-62547
Inventory,-,1263,-3344,-1105
Other working capital,-,273563,449802,500142
Other non-cash items,-,66882,67752,183260
Net cash provided by operating activites,-,3010077,2630532,2459809
Investments in property plant and equipment,-,-2736514,-2180730,-1959667
Purchases of investments,-,-150047,-1106,-1072
Sales/Maturities of investments,-,148906,-,-
Other investing activites,-,-8456,-7559,-9188
Net cash used for investing activites,-,-2746111,-2189195,-1969927
Net change in cash,-,-13329,71315,-238071
Cash at beginning of period,-,431388,360073,598145
Cash at end of period,-,418059,431388,360073
Operating Cash Flow,-,3010077,2630532,2459809
Capital Expenditure,-,-2736514,-2180730,-1959667
Free Cash Flow,-,273563,449802,500142
