Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net change in cash,-18673,2646,33671,10520
Cash at beginning of period,42764,80439,47722,30266
Cash at end of period,24091,86963,80439,47722
Free Cash Flow,20768,39033,57173,28626
