Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,66682,66682,62809,59851,55446
Interest Expense,26158,26158,20334,13529,10812
Income Before Tax,30260,30260,27842,26200,24463
Income Tax Expense,4735,4735,4306,6612,6454
Income from Continuing Operations,25525,25525,23536,19588,18009
Net Income,25525,25525,23536,19588,18009
Net Income available to common shareholders,25525,25525,23536,19588,18009
Basic EPS,-,-,2.18,1.82,1.68
Diluted EPS,-,-,2.17,1.81,1.66
Basic Average Shares,-,-,10796,10763,10720
Diluted Average Shares,-,-,10846,10822,10849
