Breakdown,6/30/2019,6/30/2018
Total Assets,226530,92688
Liabilities,,
Total Liabilities,687.781,224.348
Stockholders' Equity,,
Common Stock,0,0
Retained Earnings,10831,3283
Total stockholders' equity,225843,92463
Total liabilities and stockholders' equity,226530,92688
