Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1398859,1366977,1190273
Liabilities,,,
Total Liabilities,70605,111418,71849
Stockholders' Equity,,,
Common Stock,79338,79338,79338
Retained Earnings,402635,404279,951953
Total stockholders' equity,1328254,1255559,1118424
Total liabilities and stockholders' equity,1398859,1366977,1190273
