Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,197819,231719,196885,145566
Depreciation & amortization,-,54935,68189,63535
Change in working capital,-,-24470,-15525,-3587
Inventory,-,-89950,-37219,56731
Other working capital,-,219288,179835,140074
Other non-cash items,-,-2577,10985,881
Net cash provided by operating activites,-,250010,294395,178570
Investments in property plant and equipment,-,-30722,-114560,-38496
Purchases of investments,-,-48126,-,-
Sales/Maturities of investments,-,48126,-,-
Other investing activites,-,-1878,55025,-107916
Net cash used for investing activites,-,-32600,-59535,-145810
Net change in cash,-,147207,100788,-76310
Cash at beginning of period,-,589014,488226,564536
Cash at end of period,-,736221,589014,488226
Operating Cash Flow,-,250010,294395,178570
Capital Expenditure,-,-30722,-114560,-38496
Free Cash Flow,-,219288,179835,140074
