Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,133082,133082,129218,118403,102479
Interest Expense,138735,138735,100970,63342,49524
Income Before Tax,69464,69464,62931,65231,53940
Income Tax Expense,20603,20603,17871,-4153,1819
Income from Continuing Operations,48861,48861,45060,69384,52121
Net Income,48861,48861,45060,69384,52121
Net Income available to common shareholders,48861,48861,45060,69384,41299
Basic EPS,-,-,0.80,1.62,0.76
Diluted EPS,-,-,0.79,1.62,0.76
Basic Average Shares,-,-,56325,42917,54150
Diluted Average Shares,-,-,57038,42958,54150
