Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-49.729,-186.676,-861.556
Acquisitions net,-,-324.412,-,-
Sales/Maturities of investments,-,-,1.909,-
Other investing activites,-,301.753,287.102,-105.583
Net cash used for investing activites,-755.317,-72.388,719.875,-967.139
Debt repayment,-,-,-438.231,-
Common stock issued,-,2000,387,6001
Common stock repurchased,-,-128.037,-23.22,-590.388
Other financing activites,-,-207.05,-,52.355
Net cash used privided by (used for) financing activities,-,1872,925.549,7151
Net change in cash,199.77,280.652,-2789,2935
Cash at beginning of period,111.645,513.754,3301,364.666
Cash at end of period,311.415,796.569,513.754,3301
Capital Expenditure,-,-49.729,-186.676,-861.556
Free Cash Flow,-1723,-1569,-4621,-4110
