Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-268.109,-228.991,-371.31,-194.137,-206.949
Sales/Maturities of investments,-,4391,106.302,-,53.964
Other investing activites,-,-,-3197,-6391,-1828
Net cash used for investing activites,2197,4162,-3462,-6585,-1981
Debt repayment,-,-2924,-,-,-
Common stock issued,-,-,12.071,-,1020
Common stock repurchased,-,-,-0.483,-,-12
Net cash used privided by (used for) financing activities,-,-2924,11.588,10584,1008
Net change in cash,-1871,395.116,-4484,2716,-2875
Cash at beginning of period,2813,1332,5667,3147,5832
Cash at end of period,942.609,1791,1332,5667,3147
Capital Expenditure,-268.109,-228.991,-371.31,-194.137,-206.949
Free Cash Flow,-1412,-1072,-1405,-1476,-2108
