Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-48.021,-,-,-
Purchases of investments,-,-,-,-,-105.812
Sales/Maturities of investments,-,-,53.096,1093,-
Other investing activites,-,-0.6,-,-214.637,-240.307
Net cash used for investing activites,-,-48.621,53.096,878.377,-346.119
Debt repayment,-,-1055,-,-,-
Common stock issued,-,1184,-,-,-
Common stock repurchased,-,-,-119.456,-,-
Net cash used privided by (used for) financing activities,-887.947,128.932,-119.456,-,-
Net change in cash,-1150,-143.416,-352.194,467.611,-1418
Cash at beginning of period,1655,1178,1523,1058,2477
Cash at end of period,504.557,1046,1178,1523,1058
Capital Expenditure,-,-48.021,-,-,-
Free Cash Flow,-310.501,-271.748,-285.834,-410.766,-1072
