Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5787000,6512000,6546000,6801000
Depreciation & amortization,-,1737000,1449000,1413000
Change in working capital,-,-3332000,-1228000,-4317000
Inventory,-,126000,1539000,-76000
Other working capital,-,3943000,2588000,1302000
Other non-cash items,-,-129000,2340000,1083000
Net cash provided by operating activites,-,5560000,7565000,4461000
Investments in property plant and equipment,-,-1617000,-4977000,-3159000
Acquisitions net,-,-100000,-152000,-74000
Purchases of investments,-,-5215000,-4213000,-13110000
Sales/Maturities of investments,-,4514000,2499000,14579000
Other investing activites,-,-455000,-299000,-568000
Net cash used for investing activites,-,-2127000,-5903000,-2342000
Net change in cash,-,521000,-61000,1133000
Cash at beginning of period,-,20677000,20739000,19606000
Cash at end of period,-,21992000,20677000,20739000
Operating Cash Flow,-,5560000,7565000,4461000
Capital Expenditure,-,-1617000,-4977000,-3159000
Free Cash Flow,-,3943000,2588000,1302000
