Breakdown,ttm,12/31/2019
Net Income,963.51,963.51
Change in working capital,295.538,295.538
Other working capital,-1906,-1906
Other non-cash items,-3165,-3165
Net cash provided by operating activites,-1906,-1906
Purchases of investments,-174225,-174225
Sales/Maturities of investments,764.269,764.269
Net cash used for investing activites,-173461,-173461
Debt repayment,-220,-220
Common stock issued,176225,176225
Other financing activites,-430.194,-430.194
Net cash used privided by (used for) financing activities,175645,175645
Net change in cash,278.306,278.306
Cash at beginning of period,41.093,41.093
Cash at end of period,319.399,319.399
Operating Cash Flow,-1906,-1906
Free Cash Flow,-1906,-1906
