Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2412000,4772000,7000000,6327000
Depreciation & amortization,-,6196000,5792000,5422000
Change in working capital,-,-4270000,-2381000,732000
Inventory,-,-4428000,-1518000,-252000
Other working capital,-,1018000,2497000,7804000
Other non-cash items,-,-503000,20000,283000
Net cash provided by operating activites,-,6113000,8478000,14747000
Investments in property plant and equipment,-,-5095000,-5981000,-6943000
Acquisitions net,-,-975000,-110000,-179000
Purchases of investments,-,-26000,-26000,-25000
Sales/Maturities of investments,-,1199000,403000,533000
Other investing activites,-,3000,-13000,-10000
Net cash used for investing activites,-,-5816000,-7187000,-7010000
Net change in cash,-,-2323000,-2637000,1749000
Cash at beginning of period,-,16149000,18786000,17037000
Cash at end of period,-,14312000,16149000,18786000
Operating Cash Flow,-,6113000,8478000,14747000
Capital Expenditure,-,-5095000,-5981000,-6943000
Free Cash Flow,-,1018000,2497000,7804000
