Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2077,-2566,-4899,-1563,-375
Acquisitions net,-12499,-254,-4659,-8379,-24683
Purchases of investments,-,-,-,-50,-
Other investing activites,-,-266,-,-,-
Net cash used for investing activites,-14752,-3067,-9537,-9992,-25058
Debt repayment,-13686,-15301,-23346,-14535,-13281
Common stock issued,-,-,-,-,23145
Common stock repurchased,-,-,-,-,-3017
Dividends Paid,-1106,-1023,-988,-809,-
Other financing activites,-1849,-572,-674,-404,-252
Net cash used privided by (used for) financing activities,9831,-1380,788,7173,28392
Net change in cash,789,437,468,-1149,2097
Cash at beginning of period,1662,1436,968,2117,20
Cash at end of period,2451,1873,1436,968,2117
Capital Expenditure,-2077,-2566,-4899,-1563,-375
Free Cash Flow,3633,2318,4318,107,-1612
