Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-5559,-5993,-3759
Net cash used for investing activites,-15237,-5993,-3759
Common stock issued,15092,6560,1842
Net cash used privided by (used for) financing activities,17634,7255,2361
Net change in cash,-1090,1981,560.482
Cash at beginning of period,8654,2445,1885
Cash at end of period,7563,4426,2445
Capital Expenditure,-5559,-5993,-3759
Free Cash Flow,-9047,-5274,-1801
