Breakdown,ttm,2/28/2019,2/28/2018
Total Revenue,32576728,29696336,26954523
Cost of Revenue,14979592,13758825,12552995
Gross Profit,17597136,15937510,14401528
Total Operating Expenses,15752420,14312492,12996553
Operating Income or Loss,1844716,1625018,1404975
Interest Expense,75202,72704,77928
Income Before Tax,1698609,2316879,1209565
Income Tax Expense,609831,514357,440856
Income from Continuing Operations,1088778,1802522,768709
Net Income,1088778,1802522,760276
Net Income available to common shareholders,1088778,1802522,760276
Basic EPS,-,184.67,76.74
Diluted EPS,-,181.76,76.74
Basic Average Shares,-,9761,9907
Diluted Average Shares,-,9917,9907
