Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1648,-1537,-1619,-1174,-3658
Net cash used for investing activites,-1648,-1537,-1619,-1171,-3645
Debt repayment,-,-2500,-,-,-2503
Common stock issued,-,-,-,1000,4680
Common stock repurchased,-,-66,-20,-,-69
Net cash used privided by (used for) financing activities,2630,2444,1920,1500,4524
Net change in cash,15,-8,-554,-567,-495
Cash at beginning of period,14,36,590,1157,1652
Cash at end of period,29,28,36,590,1157
Capital Expenditure,-1648,-1537,-1619,-1174,-3658
Free Cash Flow,-2615,-2452,-2474,-2070,-5032
