Breakdown,ttm,3/31/2019,3/31/2018,6/30/2016
Investments in property plant and equipment,-4918,-25343,-5426,-224.944
Acquisitions net,-,-2739,-,2.754
Purchases of investments,-,-,-,-3.32
Sales/Maturities of investments,-,-,80,-
Other investing activites,-,-,-2118,-
Net cash used for investing activites,14222,-28082,-7464,-225.51
Debt repayment,-37313,-21157,-4552,-6091
Common stock issued,-,50,6735,4850
Common stock repurchased,-,-,-451.473,-435.662
Other financing activites,-,-,-,-281.016
Net cash used privided by (used for) financing activities,-16284,19287,9356,1815
Net change in cash,-2329,-8610,1888,1432
Cash at beginning of period,4452,8702,6814,713.282
Cash at end of period,2123,91.419,8702,2145
Capital Expenditure,-4918,-25343,-5426,-224.944
Free Cash Flow,-5185,-25158,-5430,-382.619
