Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,824560,824560,792223,755837,687067
Interest Expense,176917,176917,128058,93502,82328
Income Before Tax,263988,263988,232970,234454,208249
Income Tax Expense,37649,37649,24577,62701,46624
Income from Continuing Operations,226339,226339,208393,171753,161625
Net Income,226339,226339,208393,171753,161625
Net Income available to common shareholders,226339,226339,208393,171753,161625
Basic EPS,-,1.36,1.19,0.98,0.93
Diluted EPS,-,1.35,1.18,0.98,0.93
Basic Average Shares,-,166902,175395,174721,173325
Diluted Average Shares,-,167792,176543,175932,174418
