Breakdown,ttm,3/31/2019,3/31/2018
Net Income,672012,423919,252206
Depreciation & amortization,-,191321,278410
Change in working capital,-,1812094,-301166
Inventory,-,28499,35462
Other working capital,-,2608377,135629
Other non-cash items,-,757,53311
Net cash provided by operating activites,-,2608377,135629
Other investing activites,-,-7062,-731875
Net cash used for investing activites,-,-2792,-725401
Net change in cash,-,1821416,-288257
Cash at beginning of period,-,1147755,1436013
Cash at end of period,-,2969172,1147755
Operating Cash Flow,-,2608377,135629
Free Cash Flow,-,2608377,135629
