Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,37144,33443,31331,30252,24715
Interest Expense,8676,8037,5858,3073,2899
Income Before Tax,24275,19869,18648,17180,11367
Income from Continuing Operations,24275,19869,18648,17180,11367
Net Income,24275,19869,18648,17180,11367
Net Income available to common shareholders,24275,19869,18648,17180,11367
Basic EPS,-,0.68,0.69,0.67,0.49
Diluted EPS,-,0.68,0.69,0.67,0.49
Basic Average Shares,-,29269,27104,25495,23201
Diluted Average Shares,-,29269,27104,25495,23201
