Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,51000,-167000,569000,-722000
Depreciation & amortization,-,23000,766000,819000
Change in working capital,-,-343000,-2689000,-1724000
Inventory,-,-12000,59000,59000
Other working capital,-,-1188000,-6325000,-2746000
Other non-cash items,-,-5000,-4268000,-1439000
Net cash provided by operating activites,-,-1087000,-6081000,-2634000
Investments in property plant and equipment,-,-101000,-244000,-112000
Sales/Maturities of investments,-,-,58000,14000
Other investing activites,-,44000,-720000,-347000
Net cash used for investing activites,-,78000,10113000,3614000
Net change in cash,-,-1250000,2257000,1754000
Cash at beginning of period,-,4863000,2605000,850000
Cash at end of period,-,3612000,4863000,2605000
Operating Cash Flow,-,-1087000,-6081000,-2634000
Capital Expenditure,-,-101000,-244000,-112000
Free Cash Flow,-,-1188000,-6325000,-2746000
