Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-6604,-3125
Net cash used for investing activites,-12221,-3125
Debt repayment,-,-1950
Common stock issued,37090,13000
Other financing activites,-,-2448
Net cash used privided by (used for) financing activities,28168,10102
Net change in cash,10415,3653
Cash at beginning of period,5595,1447
Cash at end of period,16010,5112
Capital Expenditure,-6604,-3125
Free Cash Flow,-12136,-6449
