Breakdown,ttm,3/31/2019,3/31/2018
Net Income,204212000,226147000,210595000
Depreciation & amortization,-,6288000,4577000
Change in working capital,-,-17373000,-36959000
Inventory,-,-3482000,-10525000
Other working capital,-,202019000,196164000
Other non-cash items,-,4013000,6000
Net cash provided by operating activites,-,209380000,202934000
Investments in property plant and equipment,-,-7361000,-6770000
Other investing activites,-,-47983000,-117936000
Net cash used for investing activites,-,-205350000,-280208000
Net change in cash,-,-14366000,-92354000
Cash at beginning of period,-,280260000,372615000
Cash at end of period,-,265894000,280260000
Operating Cash Flow,-,209380000,202934000
Capital Expenditure,-,-7361000,-6770000
Free Cash Flow,-,202019000,196164000
