Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,406971,136852,47216,233907
Depreciation & amortization,-,451513,435274,413587
Change in working capital,-,-49753,359333,133203
Inventory,-,-289169,58840,82539
Other working capital,-,456398,104390,577578
Other non-cash items,-,42574,51103,58537
Net cash provided by operating activites,-,889736,852296,997831
Investments in property plant and equipment,-,-433338,-747906,-420253
Acquisitions net,-,-,-,-96328
Sales/Maturities of investments,-,124786,1202,1735
Other investing activites,-,5900,-66933,-85840
Net cash used for investing activites,-,861116,-813637,-600686
Net change in cash,-,1465834,380648,472284
Cash at beginning of period,-,2472197,2091548,1619263
Cash at end of period,-,3938032,2472197,2091548
Operating Cash Flow,-,889736,852296,997831
Capital Expenditure,-,-433338,-747906,-420253
Free Cash Flow,-,456398,104390,577578
