Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,11563000,14238000,14515000,11118000
Depreciation & amortization,-,2804000,2450000,2356000
Change in working capital,-,-1875000,551000,720000
Inventory,-,-2300000,-761000,835000
Other working capital,-,8242000,13840000,12176000
Other non-cash items,-,-1261000,-961000,-167000
Net cash provided by operating activites,-,13632000,17094000,14810000
Investments in property plant and equipment,-,-5390000,-3254000,-2634000
Acquisitions net,-,-,-587000,-
Purchases of investments,-,-1000,-1000,-166000
Sales/Maturities of investments,-,212000,198000,165000
Other investing activites,-,17000,-111000,16000
Net cash used for investing activites,-,-4704000,-3586000,-1854000
Net change in cash,-,-397000,1294000,5840000
Cash at beginning of period,-,31346000,30052000,24297000
Cash at end of period,-,30949000,31346000,30052000
Operating Cash Flow,-,13632000,17094000,14810000
Capital Expenditure,-,-5390000,-3254000,-2634000
Free Cash Flow,-,8242000,13840000,12176000
