Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2063776,2049313,1588932,1553133
Liabilities,,,,
Total Liabilities,1836964,1846950,1438650,1413095
Stockholders' Equity,,,,
Common Stock,86,86,74,73
Retained Earnings,103909,87018,74508,67055
Accumulated other comprehensive income,8150,-2624,381,-1254
Total stockholders' equity,226812,202363,150282,140038
Total liabilities and stockholders' equity,2063776,2049313,1588932,1553133
