Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1033,-1247,-272.848,-,-
Acquisitions net,-,-,142.858,-,-
Other investing activites,-,-,142.858,-,-
Net cash used for investing activites,-1033,-1247,-129.99,1000,-
Debt repayment,-,-,-,-2500,-
Common stock issued,-,-,5001,-,-
Common stock repurchased,-,-,-353.018,-,-
Net cash used privided by (used for) financing activities,-,-,4648,-2500,-
Net change in cash,-1630,-1979,3744,3276,-466
Cash at beginning of period,2595,3742,-,-785,-319
Cash at end of period,964.778,1745,3742,2491,-785
Capital Expenditure,-1033,-1247,-272.848,-,-
Free Cash Flow,-1630,-1979,-1046,4776,-466
