Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-14500,-14500,-6300,-5900,-5500
Acquisitions net,-540800,-540800,-,-,-
Purchases of investments,-654300,-654300,-782600,-480700,-661900
Sales/Maturities of investments,-,-,-,10700,48200
Other investing activites,-,-,15200,5500,438100
Net cash used for investing activites,-413300,-413300,-773700,-470400,-181100
Debt repayment,-3088100,-3088100,-2164400,-1066900,-2407000
Common stock issued,853600,853600,-,-,-
Dividends Paid,-485800,-485800,-449200,-435600,-413100
Other financing activites,-137200,-137200,-,-3100,-2700
Net cash used privided by (used for) financing activities,-155800,-155800,248500,-71500,-358100
Net change in cash,45500,45500,8800,-6400,-13000
Cash at beginning of period,58700,58700,49900,56300,69300
Cash at end of period,104200,104200,58700,49900,56300
Capital Expenditure,-14500,-14500,-6300,-5900,-5500
Free Cash Flow,600100,600100,527700,529600,520700
