Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1317,-1339,-889,-120,-183
Net cash used for investing activites,-1326,-1339,-880,572,-183
Debt repayment,-355,-378,-495,-882,-
Common stock issued,-,-,-,3010,-
Common stock repurchased,-,-,-,-57,-
Other financing activites,-,-,-,-7,-6
Net cash used privided by (used for) financing activities,2854,-378,-495,2064,688
Net change in cash,4098,-297,656,84,-1707
Cash at beginning of period,2011,2307,1717,1685,3157
Cash at end of period,6109,1945,2307,1717,1685
Capital Expenditure,-1317,-1339,-889,-120,-183
Free Cash Flow,1253,81,1142,-2672,-2395
