Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,784000,776000,1101000,111000
Depreciation & amortization,-,1033000,1067000,1380000
Change in working capital,-,-3983000,-1241000,-2204000
Inventory,-,-417000,-841000,-413000
Other working capital,-,-1222000,1095000,-182000
Other non-cash items,-,1166000,48000,581000
Net cash provided by operating activites,-,-1222000,1095000,-182000
Acquisitions net,-,-204000,-66000,-
Purchases of investments,-,-9000,-19000,-1000
Sales/Maturities of investments,-,-,38000,268000
Other investing activites,-,-1116000,-291000,-1122000
Net cash used for investing activites,-,-1355000,-332000,-855000
Net change in cash,-,-3831000,3225000,-1090000
Cash at beginning of period,-,7836000,4610000,5701000
Cash at end of period,-,4004000,7836000,4610000
Operating Cash Flow,-,-1222000,1095000,-182000
Free Cash Flow,-,-1222000,1095000,-182000
