Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,120820,36306,343219,316188
Depreciation & amortization,-,1083210,1049651,1037865
Change in working capital,-,-352464,-703578,402131
Inventory,-,-932687,-496841,190121
Other working capital,-,-104855,-567296,1176925
Other non-cash items,-,63011,-132212,95040
Net cash provided by operating activites,-,849068,566659,2215352
Investments in property plant and equipment,-,-953923,-1133955,-1038427
Purchases of investments,-,-105000,-,-4825
Sales/Maturities of investments,-,105000,-,4000
Other investing activites,-,-149435,-132617,-106259
Net cash used for investing activites,-,-1263814,-1195978,-1266176
Net change in cash,-,-9581,53695,-83968
Cash at beginning of period,-,554768,501073,585042
Cash at end of period,-,545187,554768,501073
Operating Cash Flow,-,849068,566659,2215352
Capital Expenditure,-,-953923,-1133955,-1038427
Free Cash Flow,-,-104855,-567296,1176925
