Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-39.55,-30,-316.035,-31.781
Other investing activites,-,-,-30,-61.3
Net cash used for investing activites,-29.55,-30,-346.035,-93.081
Debt repayment,-,-,-,-373.566
Common stock issued,2098,994.365,-,4000
Common stock repurchased,-,-63.544,-,-512.686
Net cash used privided by (used for) financing activities,2110,930.821,-,4087
Net change in cash,346.672,-320.053,-2527,3035
Cash at beginning of period,507.44,553.484,3080,45.56
Cash at end of period,854.112,233.431,553.484,3080
Capital Expenditure,-39.55,-30,-316.035,-31.781
Free Cash Flow,-1774,-1251,-2497,-990.874
