Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1996347,1915381,1806401,1790619
Liabilities,,,,
Total Liabilities,1602661,1515702,1394297,1379929
Stockholders' Equity,,,,
Common Stock,271,285,295,294
Retained Earnings,197393,187153,183358,184565
Accumulated other comprehensive income,642,-2361,-477,-378
Total stockholders' equity,393686,399679,412104,410690
Total liabilities and stockholders' equity,1996347,1915381,1806401,1790619
