Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1018357,705838,595135,471860
Depreciation & amortization,-,954440,977093,900499
Change in working capital,-,-1426210,-295873,-969228
Inventory,-,-19917,-2965,-77414
Other working capital,-,-1287761,-328023,-863102
Other non-cash items,-,165985,161221,-203861
Net cash provided by operating activites,-,386460,1762470,107728
Investments in property plant and equipment,-,-1674221,-2090493,-970830
Acquisitions net,-,-45018,-,-
Purchases of investments,-,-15064,-111421,-14789
Sales/Maturities of investments,-,7661,1793,258883
Other investing activites,-,-55063,-9613,-636290
Net cash used for investing activites,-,-1765830,-2209734,-1362784
Net change in cash,-,-375175,-588918,373361
Cash at beginning of period,-,5241209,5830127,5456765
Cash at end of period,-,4866034,5241209,5830127
Operating Cash Flow,-,386460,1762470,107728
Capital Expenditure,-,-1674221,-2090493,-970830
Free Cash Flow,-,-1287761,-328023,-863102
