Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3026000,4064000,2836000,1897000
Depreciation & amortization,-,2787000,2443000,2130000
Change in working capital,-,-3225000,1122000,-401000
Inventory,-,-1949000,-445000,-855000
Other working capital,-,2138000,5634000,1588000
Other non-cash items,-,26000,486000,85000
Net cash provided by operating activites,-,3553000,7044000,3981000
Investments in property plant and equipment,-,-1415000,-1410000,-2393000
Acquisitions net,-,-195000,-676000,-
Sales/Maturities of investments,-,-,-,193000
Other investing activites,-,-251000,2000,-
Net cash used for investing activites,-,-1580000,-2191000,-2142000
Net change in cash,-,-2373000,1710000,538000
Cash at beginning of period,-,10769000,9059000,8521000
Cash at end of period,-,8504000,10769000,9059000
Operating Cash Flow,-,3553000,7044000,3981000
Capital Expenditure,-,-1415000,-1410000,-2393000
Free Cash Flow,-,2138000,5634000,1588000
