Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,557671,557671,531711,444245,403481
Interest Expense,83312,83312,61330,33735,25236
Income Before Tax,238712,238712,215926,172834,162992
Income Tax Expense,52991,52991,49815,105013,62336
Income from Continuing Operations,185721,185721,166111,67821,100656
Net Income,185721,185721,166111,67821,100656
Net Income available to common shareholders,184346,184346,164927,67250,100635
Basic EPS,-,-,2.07,0.92,1.40
Diluted EPS,-,-,2.07,0.92,1.40
Basic Average Shares,-,-,79662,73247,71910
Diluted Average Shares,-,-,79671,73259,71915
