Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,1926498,1715967,1476225
Liabilities,,,
Total Liabilities,2542,2100,1367
Stockholders' Equity,,,
Common Stock,0,0,0
Total stockholders' equity,1923956,1713867,1474858
Total liabilities and stockholders' equity,1926498,1715967,1476225
