Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2414272,2468012,2366177,2276210
Depreciation & amortization,-,1836561,1662452,1537340
Change in working capital,-,-1017963,137116,-492583
Other working capital,-,969340,2815555,2162736
Other non-cash items,-,-50639,44122,-37272
Net cash provided by operating activites,-,3152632,4287060,3474618
Investments in property plant and equipment,-,-2183292,-1471505,-1311882
Acquisitions net,-,-,-,-1500000
Purchases of investments,-,-377364,-38625,-
Sales/Maturities of investments,-,375836,369393,9284
Other investing activites,-,-77025,141072,-197278
Net cash used for investing activites,-,-1651019,-3589808,-2947093
Net change in cash,-,804131,155785,5377
Cash at beginning of period,-,3077988,2839182,2817751
Cash at end of period,-,3882119,3077988,2839182
Operating Cash Flow,-,3152632,4287060,3474618
Capital Expenditure,-,-2183292,-1471505,-1311882
Free Cash Flow,-,969340,2815555,2162736
