Breakdown,3/31/2019,3/31/2018
Total Assets,580023,310739
Liabilities,,
Total Liabilities,176277,98758
Stockholders' Equity,,
Common Stock,3523,1969
Retained Earnings,55082,20966
Total stockholders' equity,403746,211981
Total liabilities and stockholders' equity,580023,310739
