Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-116.099,-332.229,-194.31,-1122
Purchases of investments,-,-,-,-89.496,-2673
Other investing activites,281.092,657.893,457.234,-,-
Net cash used for investing activites,299.504,541.794,125.005,-283.806,-3795
Debt repayment,-,-,-,-,-446
Common stock issued,-,-,-,-,629.959
Common stock repurchased,-,-,-,-,-44.142
Net cash used privided by (used for) financing activities,-230.759,-489.682,420,606,3836
Net change in cash,-159.192,-229.177,293.078,-56.457,2.106
Cash at beginning of period,183.199,297.265,6.332,85.834,68.21
Cash at end of period,24.007,65.73,297.265,6.332,85.834
Capital Expenditure,-,-116.099,-332.229,-194.31,-1122
Free Cash Flow,-209.525,-397.388,-584.156,-572.961,-1161
