Attribute,Value
Previous Close,48.07
Open,45.91
Bid,44.38 x 800
Ask,44.89 x 900
Day's Range,44.14 - 46.29
52 Week Range,21.30 - 132.23
Volume,581022
Avg. Volume,699117
Net Assets,200.93M
NAV,47.40
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,-48.47%
Beta (5Y Monthly),1.20
Expense Ratio (net),1.65%
Inception Date,2011-10-14
