Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,841744,624399,965537,1056843
Depreciation & amortization,-,227113,116281,98249
Change in working capital,-,-141930,-64249,171288
Inventory,-,-54083,-5866,3664
Other working capital,-,177074,875016,1864234
Other non-cash items,-,-220888,56090,30761
Net cash provided by operating activites,-,411698,1028447,1953497
Investments in property plant and equipment,-,-234624,-153431,-89263
Acquisitions net,-,-199485,-162353,-
Purchases of investments,-,-2218433,-134606,-25000
Sales/Maturities of investments,-,1317920,940,-
Other investing activites,-,-12393,849,-36721
Net cash used for investing activites,-,-1347015,-448601,-150984
Net change in cash,-,-1375658,189104,1373112
Cash at beginning of period,-,9336395,9147291,7774179
Cash at end of period,-,7960736,9336395,9147291
Operating Cash Flow,-,411698,1028447,1953497
Capital Expenditure,-,-234624,-153431,-89263
Free Cash Flow,-,177074,875016,1864234
