Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-4755,-10934,-58570,-
Sales/Maturities of investments,-,-,96,215,170
Other investing activites,-,-4721,-8639,-763,-
Net cash used for investing activites,-3709,-4742,-10834,-59116,170
Debt repayment,-,-,-,-6500,-
Common stock issued,-,10306,20000,46337,-
Common stock repurchased,-549,-546,-1050,-2479,-
Net cash used privided by (used for) financing activities,12417,14460,18950,68358,500
Net change in cash,1941,2784,682,5150,-43
Cash at beginning of period,4347,6727,6045,895,938
Cash at end of period,6288,9511,6727,6045,895
Capital Expenditure,-,-4755,-10934,-58570,-
Free Cash Flow,-11521,-11689,-18368,-62662,-713
