Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-695.325,-510.212,-157.242,-579.024,-100.408
Net cash used for investing activites,-621.369,-510.212,796.059,-579.024,-100.408
Common stock issued,-,188.512,1588,605.664,3763
Common stock repurchased,-,-,-95.421,-50.784,-249.054
Other financing activites,-,-,0.18,-,-
Net cash used privided by (used for) financing activities,-,188.512,1492,554.88,3514
Net change in cash,-1233,-875.002,1841,-605.617,1893
Cash at beginning of period,2761,3159,1318,1924,31.116
Cash at end of period,1528,2284,3159,1318,1924
Capital Expenditure,-695.325,-510.212,-157.242,-579.024,-100.408
Free Cash Flow,-1493,-1064,-605.02,-1160,-1621
