Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,157862,157862,144990,133554
Interest Expense,28367,28367,22482,15977
Income Before Tax,36701,36701,25389,23742
Income Tax Expense,7481,7481,-3901,107
Income from Continuing Operations,29220,29220,29290,23635
Net Income,29220,29220,29290,23635
Net Income available to common shareholders,29220,29220,29290,23635
Basic EPS,-,-,1.68,1.35
Diluted EPS,-,-,1.68,1.35
Basic Average Shares,-,-,17472,17472
Diluted Average Shares,-,-,17472,17472
