Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,117292000,94827000,90006000,75022100
Liabilities,,,,
Total Liabilities,116344800,93807900,88947900,73946500
Stockholders' Equity,,,,
Common Stock,80200,79400,79400,79100
Retained Earnings,699400,787300,832100,851200
Total stockholders' equity,948100,1020000,1059000,1076400
Total liabilities and stockholders' equity,117292000,94827000,90006000,75022100
