Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1747,-2962,-1017
Acquisitions net,-,-116.12,-48.8
Other investing activites,-,-517.086,-
Net cash used for investing activites,-2380,-3595,-1066
Common stock issued,2566,1694,6743
Common stock repurchased,-,-146.575,-561.287
Net cash used privided by (used for) financing activities,2430,1547,6182
Net change in cash,-1295,-3406,4049
Cash at beginning of period,1924,4336,287.612
Cash at end of period,629.699,930.583,4336
Capital Expenditure,-1747,-2962,-1017
Free Cash Flow,-3092,-4320,-2084
