Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,11766953,11766953,11386425
Cost of Revenue,8213002,8213002,7807185
Gross Profit,3553951,3553951,3579239
Total Operating Expenses,1989820,1989820,1904234
Operating Income or Loss,1564131,1564131,1675005
Interest Expense,20995,20995,30324
Income Before Tax,1460168,1460168,2210688
Income Tax Expense,480083,480083,753502
Income from Continuing Operations,980085,980085,1457186
Net Income,980084,980084,1457185
Net Income available to common shareholders,980084,980084,1457185
Basic EPS,-,-,167.69
Diluted EPS,-,-,167.69
Basic Average Shares,-,-,8690
Diluted Average Shares,-,-,8690
