Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,298136,298136,275329,196290,140674
Interest Expense,52823,52823,36152,19611,13163
Income Before Tax,107358,107358,85502,65325,35199
Income Tax Expense,18784,18784,13570,22855,12153
Income from Continuing Operations,88574,88574,71932,42470,23046
Net Income,88574,88574,71932,42470,23046
Net Income available to common shareholders,88574,88574,71932,42470,23046
Basic EPS,-,-,1.54,1.32,1.00
Diluted EPS,-,-,1.51,1.28,0.98
Basic Average Shares,-,-,46773,32113,23093
Diluted Average Shares,-,-,47657,33125,23526
