Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Net Income,-399720,69598,15459,-1175411,-1448470
Depreciation & amortization,145902,130860,116228,105255,80318
Change in working capital,-149306,-137328,-175888,-4840,-5955
Other working capital,-442568,-177281,95540,-1052121,-1716848
Other non-cash items,109126,-78937,170156,107030,60882
Net cash provided by operating activites,-218279,11810,137813,-974789,-1315534
Investments in property plant and equipment,-224289,-189091,-42273,-77332,-401314
Acquisitions net,-,-,-45226,0,-87496
Purchases of investments,-,-40289,-,-24480,-9999
Other investing activites,11011,-57418,-52462,-11815,-62198
Net cash used for investing activites,-285191,-266422,-139961,-113627,-561007
Net change in cash,9232294,-461377,3340771,1180537,-1514410
Cash at beginning of period,5902422,6366217,3025445,1844908,3359318
Cash at end of period,15134715,5904840,6366217,3025445,1844908
Operating Cash Flow,-218279,11810,137813,-974789,-1315534
Capital Expenditure,-224289,-189091,-42273,-77332,-401314
Free Cash Flow,-442568,-177281,95540,-1052121,-1716848
