Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,32331,32331,28726,27302,24472
Interest Expense,13528,13528,9044,6290,3804
Income Before Tax,5451,5451,4555,4345,4409
Income Tax Expense,1165,1165,546,922,1111
Income from Continuing Operations,4286,4286,4009,3423,3298
Net Income,4276,4276,4031,3491,3272
Net Income available to common shareholders,3578,3578,4031,3491,3256
Basic EPS,-,-,0.97,0.74,0.79
Diluted EPS,-,-,0.94,0.72,0.78
Basic Average Shares,-,-,4171,4081,4105
Diluted Average Shares,-,-,4266,4190,4190
