Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2576980000,2618179000,2612784000
Liabilities,,,
Total Liabilities,2420219000,2460737000,2459270000
Stockholders' Equity,,,
Common Stock,12008000,12008000,12008000
Retained Earnings,123665000,120721000,116853000
Total stockholders' equity,156602000,157291000,153362000
Total liabilities and stockholders' equity,2576980000,2618179000,2612784000
