Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,140265,140265,130580,99519,-
Interest Expense,11564,11564,7869,488,-
Income Before Tax,35274,35274,45400,42542,-
Income Tax Expense,11781,11781,14855,12975,-
Income from Continuing Operations,23493,23493,30545,29567,-
Net Income,23493,23493,29384,29567,-
Net Income available to common shareholders,23493,23493,29384,29567,-
Basic EPS,-,-,0.20,0.23,0.00
Diluted EPS,-,-,0.19,0.23,0.00
Basic Average Shares,-,-,153080,126262,125000
Diluted Average Shares,-,-,153080,129680,125000
