Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5081000,7545000,2980000,10703000
Depreciation & amortization,-,12595000,12192000,10619000
Change in working capital,-,-8643000,831000,-4060000
Inventory,-,-4908000,-1294000,274000
Other working capital,-,-7612000,-6019000,-3939000
Other non-cash items,-,1149000,1468000,-483000
Net cash provided by operating activites,-,12605000,16351000,17331000
Investments in property plant and equipment,-,-20217000,-22370000,-21270000
Acquisitions net,-,-217000,-,-
Purchases of investments,-,-1296000,-953000,-143000
Sales/Maturities of investments,-,7546000,4517000,773000
Other investing activites,-,-1172000,-988000,-1090000
Net cash used for investing activites,-,-14269000,-19778000,-21442000
Net change in cash,-,-1297000,-8520000,11528000
Cash at beginning of period,-,21925000,30446000,18851000
Cash at end of period,-,21023000,21925000,30446000
Operating Cash Flow,-,12605000,16351000,17331000
Capital Expenditure,-,-20217000,-22370000,-21270000
Free Cash Flow,-,-7612000,-6019000,-3939000
