Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,180566,149785,459724,932324
Depreciation & amortization,-,162280,188104,200786
Change in working capital,-,84394,-91116,160520
Inventory,-,-20619,36056,4823
Other working capital,-,371125,144219,455578
Other non-cash items,-,12762,3192,30158
Net cash provided by operating activites,-,408482,192335,515935
Investments in property plant and equipment,-,-37357,-48116,-60357
Purchases of investments,-,-130000,-,-
Sales/Maturities of investments,-,180000,-,-
Other investing activites,-,-385,64017,-223418
Net cash used for investing activites,-,13011,16921,918043
Net change in cash,-,-61747,100286,1036289
Cash at beginning of period,-,1630085,1529798,493509
Cash at end of period,-,1568337,1630085,1529798
Operating Cash Flow,-,408482,192335,515935
Capital Expenditure,-,-37357,-48116,-60357
Free Cash Flow,-,371125,144219,455578
