Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-335113,55089,204379,357184
Depreciation & amortization,-,808014,790204,818778
Change in working capital,-,66545,-2795,-84888
Inventory,-,4498,-872,3531
Other working capital,-,304828,654906,-58442
Other non-cash items,-,21372,-19921,83662
Net cash provided by operating activites,-,1158244,1101767,634500
Investments in property plant and equipment,-,-853416,-446861,-692942
Acquisitions net,-,-17773,-,-
Sales/Maturities of investments,-,19000,-,93279
Other investing activites,-,-18548,-62756,26037
Net cash used for investing activites,-,-808047,-473061,-568694
Net change in cash,-,371055,-495703,-1801107
Cash at beginning of period,-,1994770,2490473,4291581
Cash at end of period,-,2365826,1994770,2490473
Operating Cash Flow,-,1158244,1101767,634500
Capital Expenditure,-,-853416,-446861,-692942
Free Cash Flow,-,304828,654906,-58442
