Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,902974,909930,1113264,1111328
Depreciation & amortization,-,1645177,1628296,1602821
Change in working capital,-,-68005,-84086,-68790
Inventory,-,-6427,-19381,-9410
Other working capital,-,2197863,2538967,1947512
Other non-cash items,-,668962,748077,658708
Net cash provided by operating activites,-,2906258,2977635,2485401
Investments in property plant and equipment,-,-708395,-438668,-537889
Purchases of investments,-,-20661,-19411,-54061
Sales/Maturities of investments,-,13843,58806,5166
Other investing activites,-,-170633,-31687,-12163
Net cash used for investing activites,-,-876300,-421936,-555553
Net change in cash,-,230925,151508,-26624
Cash at beginning of period,-,2523515,2372007,2398631
Cash at end of period,-,2754440,2523515,2372007
Operating Cash Flow,-,2906258,2977635,2485401
Capital Expenditure,-,-708395,-438668,-537889
Free Cash Flow,-,2197863,2538967,1947512
