Breakdown,ttm,4/30/2019,4/30/2018,4/30/2017
Total Revenue,59698,54312,52294,40145
Total Operating Expenses,32076,29780,25921,20182
Operating Income or Loss,27622,24532,26373,19963
Interest Expense,-,257,310,328
Income Before Tax,27325,24282,26071,19649
Income Tax Expense,4,4,8,1
Income from Continuing Operations,27321,24278,26063,19648
Net Income,27321,24278,26063,19648
Net Income available to common shareholders,27321,24278,26063,19648
Basic EPS,-,0.10,0.11,0.08
Diluted EPS,-,0.10,0.11,0.08
Basic Average Shares,-,237501,237501,237501
Diluted Average Shares,-,237501,237501,237501
